@RELATION ga

@ATTRIBUTE hugeItems	NUMERIC
@ATTRIBUTE largeItems	NUMERIC
@ATTRIBUTE mediumItems	NUMERIC
@ATTRIBUTE smallItems	NUMERIC
@ATTRIBUTE remainingItems	NUMERIC
@ATTRIBUTE class	{0,1,2,3,4,5,6,7}

@DATA
0.8700246436597417,0.16199651746599963,0.1285273435891362,0.1670578789106658,0.8079378902219986,1
0.5539488723476977,0.8093608225078872,0.020790354170516445,0.6768495751349183,0.4692627974473229,2
0.9300974006260445,0.9645615540682551,0.9428773441347745,0.5901083365480302,0.1025278345540831,1
0.9848951359161457,0.6946566864172093,0.7233475511714483,0.22203317482042972,0.45343375016798326,5
0.8068406193235688,0.4947432565551043,0.534242924098612,0.25490355957660193,0.4747931725627793,3
0.4142542289480017,0.019887294526540367,0.7210393510498793,0.3726583274122003,0.9972382761249965,6
0.6982326428148202,0.4361130546335802,0.7685337708447955,0.2581272868912312,0.7124199428185511,6
0.20585125659034909,0.12511841459563033,0.7916599892962608,0.1193261294615311,0.454444045122788,4
0.9068412824338075,0.943574945757002,0.3374776199537115,0.5854855726450288,0.6660196141267849,4
0.1562176600381041,0.7843216774755161,0.5780083482155859,0.8053097489284028,0.14969635099728784,4
0.2383108233261092,0.7588400131910233,0.7986398655195048,0.7973451079600778,0.07095228496719963,7
0.5267461728766206,0.5528527625534804,0.22594920791149342,0.9724572296007121,0.5921939485918396,3
0.6415005313543327,0.05885865825866898,0.2307974532740602,0.7646374518282143,0.7519387593143797,2
0.685556172881236,0.0021337552830495987,0.9778874753638722,0.4929561405554931,0.3839315765674636,1
0.6938141654817723,0.6434491434571361,0.22864239729143698,0.41696508626813733,0.6505474053613135,3
0.11284911140192622,0.4838185997757414,0.10474255040876668,0.7521759809708446,0.1856368155887651,7
0.712943329236914,0.5874991609992309,0.8399951814885922,0.6861032093014662,0.5848011500158162,7
0.8730329111308657,0.8090752246107202,0.7581781126881552,0.2083919718621926,0.7769533272955587,4
0.7582733062576885,0.4449571641577267,0.6593568007818027,0.6165914611571425,0.8335767472565397,3
0.8627247309635648,0.023293889509302335,0.9233686008811055,0.8661432711895065,0.9554788462411781,6
0.5604678163719169,0.2417325491293889,0.3288052691143718,0.4984182731381811,0.05737833943603965,4
0.5273184389146481,0.018971395499321253,0.5852609819938835,0.9482401989900672,0.6850049545130852,7
0.7799652411793158,0.6197880739316886,0.658743151634766,0.9455921343564345,0.8357672730521921,3
0.7619451385307086,0.2541597070517835,0.8997804502734282,0.32483560296648994,0.2472400367626364,6
0.21921277805855954,0.5708804526695646,0.5697291432770885,0.8553712723202319,0.8178686339401976,1
0.6217614682123773,0.5604651987607604,0.8152067501323702,0.42174519673504585,0.6077173077141977,5
0.36943025781236594,0.9078654433175127,0.7360763642936903,0.6101124466119932,0.6254984968601875,5
0.446086114398925,0.35894973858241574,0.9796148628766398,0.16843378351969562,0.45763525645687075,6
0.4336584274990781,0.6865552439178604,0.5354758099512715,0.6783289428399749,0.8061916186196385,2
0.7139810059039836,0.5082123070963394,0.03879119771823025,0.5801321100855428,0.38840686267721447,7
0.2383108233261092,0.7588400131910233,0.7986398655195048,0.7973451079600778,0.07095228496719963,7
0.5267461728766206,0.5528527625534804,0.22594920791149342,0.9724572296007121,0.5921939485918396,3
0.6415005313543327,0.05885865825866898,0.2307974532740602,0.7646374518282143,0.7519387593143797,2
0.685556172881236,0.0021337552830495987,0.9778874753638722,0.4929561405554931,0.3839315765674636,1
0.6938141654817723,0.6434491434571361,0.22864239729143698,0.41696508626813733,0.6505474053613135,3
0.11284911140192622,0.4838185997757414,0.10474255040876668,0.7521759809708446,0.1856368155887651,7
0.712943329236914,0.5874991609992309,0.8399951814885922,0.6861032093014662,0.5848011500158162,7
0.8730329111308657,0.8090752246107202,0.7581781126881552,0.2083919718621926,0.7769533272955587,4
0.7582733062576885,0.4449571641577267,0.6593568007818027,0.6165914611571425,0.8335767472565397,3
0.8627247309635648,0.023293889509302335,0.9233686008811055,0.8661432711895065,0.9554788462411781,6
0.5604678163719169,0.2417325491293889,0.3288052691143718,0.4984182731381811,0.05737833943603965,4
0.5273184389146481,0.018971395499321253,0.5852609819938835,0.9482401989900672,0.6850049545130852,7
0.7799652411793158,0.6197880739316886,0.658743151634766,0.9455921343564345,0.8357672730521921,3
0.7619451385307086,0.2541597070517835,0.8997804502734282,0.32483560296648994,0.2472400367626364,6
0.21921277805855954,0.5708804526695646,0.5697291432770885,0.8553712723202319,0.8178686339401976,1
0.6217614682123773,0.5604651987607604,0.8152067501323702,0.42174519673504585,0.6077173077141977,5
0.36943025781236594,0.9078654433175127,0.7360763642936903,0.6101124466119932,0.6254984968601875,5
0.446086114398925,0.35894973858241574,0.9796148628766398,0.16843378351969562,0.45763525645687075,6
0.4336584274990781,0.6865552439178604,0.5354758099512715,0.6783289428399749,0.8061916186196385,2
0.49272696922533554,0.6159075765739258,0.09108985752641319,0.3864996491089522,0.6236325502125308,1
0.11742560607252395,0.8986657444389873,0.30575510808750195,0.35368533993037476,0.27851795250959155,2
0.7095298699712661,0.42479843834751974,0.20031988573682957,0.3231760362171532,0.47863811350092267,4
0.529524855393106,0.8847519370246236,0.044791991460714,0.7365062706777258,0.8377277998230979,6
0.8442351085328432,0.5444390989219757,0.29386712060449316,0.3752671503682835,0.999370961322801,4
0.2870537494390887,0.801012557620255,0.31883526469428725,0.742251098344773,0.7771614040795793,2
0.5735629422041294,0.6569969800194186,0.26871627263032805,0.3646528806267192,0.7651881786145227,5
0.9530391326787009,0.92148241362624,0.8931563601187396,0.2841191595581102,0.7442554273595082,2
0.5482146135303112,0.7075418952387325,0.6467046725641836,0.018123114842057197,0.5124876037133829,4
0.13444311216064964,0.5357629153060691,0.43013377210176407,0.3372631131162591,0.9979488807654545,5
0.5276164440333454,0.8525042166804955,0.41880171188869875,0.6022591397934515,0.30891342395466437,3
0.5267461728766206,0.5528527625534804,0.22594920791149342,0.9724572296007121,0.5921939485918396,3
0.6415005313543327,0.05885865825866898,0.2307974532740602,0.7646374518282143,0.7519387593143797,2
0.685556172881236,0.0021337552830495987,0.9778874753638722,0.4929561405554931,0.3839315765674636,1
0.6938141654817723,0.6434491434571361,0.22864239729143698,0.41696508626813733,0.6505474053613135,3
0.11284911140192622,0.4838185997757414,0.10474255040876668,0.7521759809708446,0.1856368155887651,7
0.9530391326787009,0.92148241362624,0.8931563601187396,0.2841191595581102,0.7442554273595082,2
0.8730329111308657,0.8090752246107202,0.7581781126881552,0.2083919718621926,0.7769533272955587,4
